Freq_Free,Freq_Money,Freq_Win,Freq_Meeting,Exclamation_Count,Message_Length,Spam
0.59,0.28,0.0,0.09,0,337,0
0.61,0.05,0.0,0.59,3,171,0
0.12,0.37,0.47,1.42,1,317,0
0.6,0.03,0.17,0.49,2,791,0
0.6,0.94,0.33,0.0,6,188,1
1.02,0.33,0.08,0.15,0,337,0
0.02,0.18,0.0,0.43,2,282,0
0.46,0.89,0.74,0.07,3,20,1
0.53,0.28,0.38,0.07,4,284,1
0.1,0.37,0.04,0.14,2,312,0
0.0,0.82,0.42,0.13,2,464,0
0.0,0.48,0.0,0.85,4,227,0
0.12,0.49,0.0,0.93,2,226,0
0.36,1.13,0.15,1.05,2,439,0
0.1,0.35,0.15,1.17,1,193,0
1.09,1.46,0.07,0.79,5,348,1
0.25,0.41,0.67,0.33,1,377,0
0.82,0.74,0.36,0.03,5,206,1
0.33,0.07,0.0,0.74,1,397,0
0.5,0.05,0.23,0.06,2,110,0
0.0,0.42,0.28,0.08,3,367,1
0.96,0.39,0.19,0.19,3,62,1
0.27,0.24,0.21,0.38,1,676,0
0.9,0.6,0.86,0.25,3,432,1
0.36,0.46,0.14,0.88,2,210,0
0.16,0.15,0.3,0.75,1,56,0
0.37,0.0,0.01,0.98,3,259,0
1.09,0.98,1.02,0.37,2,272,1
0.17,0.43,0.91,0.55,3,672,0
0.0,0.0,0.78,0.06,2,402,1
0.63,0.11,0.18,0.0,2,529,0
1.53,0.94,0.37,0.64,4,318,1
0.25,0.43,0.18,0.11,2,351,0
0.0,0.47,0.0,0.46,2,374,0
1.2,0.54,0.3,0.0,4,57,1
1.32,1.52,0.74,0.06,3,446,1
1.74,1.56,0.49,0.13,0,136,1
0.27,0.0,0.49,0.59,1,215,1
0.66,1.85,0.0,0.0,2,338,1
0.0,0.21,0.61,0.61,1,307,0
0.0,0.19,0.0,0.61,4,20,0
0.33,0.0,0.53,0.57,1,481,0
0.24,0.08,0.41,1.13,0,396,0
1.15,0.85,0.97,0.0,3,184,1
0.28,0.12,0.0,0.03,2,315,0
1.08,0.13,0.19,0.77,2,287,0
0.5,0.35,0.03,0.81,0,320,0
0.56,0.0,0.16,0.58,1,454,0
0.5,0.0,0.09,0.9,2,482,0
0.45,0.52,0.0,0.26,3,398,1
0.19,0.43,0.43,0.53,3,531,0
0.0,0.71,0.13,0.5,3,367,0
0.19,0.43,0.03,0.0,0,299,0
0.01,0.27,0.43,0.19,1,307,1
0.0,0.13,0.24,0.18,0,162,0
0.82,0.32,0.36,0.47,5,265,1
0.04,0.25,0.0,1.02,1,133,0
0.57,0.99,0.75,0.0,3,431,1
0.47,0.0,0.28,0.44,3,57,0
0.45,0.22,0.1,0.22,1,351,0
0.94,1.32,0.1,0.14,3,471,1
0.62,1.28,0.0,0.81,3,87,1
0.31,0.0,0.0,0.12,5,482,0
1.09,0.19,0.44,0.13,1,141,1
0.0,0.0,0.0,0.8,0,444,0
0.3,0.01,0.36,0.0,2,257,0
0.35,0.04,0.06,0.43,1,279,0
1.04,0.43,0.24,0.04,4,121,1
0.72,0.25,0.64,0.4,2,278,0
1.19,0.0,0.0,0.0,2,271,1
0.0,0.0,0.23,0.51,0,537,0
1.65,0.21,0.0,0.4,3,362,1
1.41,2.13,1.06,0.35,2,672,1
0.97,0.06,0.0,0.0,6,310,1
0.69,0.0,0.39,1.25,2,305,0
0.67,0.86,0.57,0.0,6,104,1
0.13,0.12,0.11,1.18,2,562,0
0.0,0.29,0.12,0.45,0,812,0
0.49,0.24,0.33,1.16,2,305,0
0.0,0.12,0.0,0.75,2,313,0
0.18,0.0,0.0,0.57,3,474,0
0.22,0.0,0.0,0.42,1,270,0
0.08,0.0,0.0,0.0,2,171,1
0.14,0.2,0.37,0.48,1,313,0
0.0,0.02,0.0,0.81,1,20,0
0.4,0.39,0.0,0.44,2,399,0
0.04,0.12,0.12,0.32,3,350,0
0.26,0.0,0.03,0.35,0,583,0
0.22,0.12,0.0,0.85,1,380,0
0.17,0.27,0.64,0.94,1,179,0
0.49,0.3,0.23,0.18,2,338,0
0.53,0.98,0.53,0.01,1,368,1
0.86,1.17,0.89,0.12,4,441,1
0.0,0.6,0.1,0.33,3,59,1
0.96,0.75,0.42,0.1,3,151,1
0.16,0.86,0.01,0.27,1,358,1
0.45,0.05,0.3,0.34,3,65,0
0.59,0.0,0.0,0.08,3,341,0
0.24,0.05,0.55,0.34,1,303,0
0.0,0.0,0.2,1.09,0,532,0
0.33,0.81,0.0,0.0,4,208,1
0.12,0.55,0.0,0.0,3,131,1
0.0,0.27,0.0,0.0,2,197,1
0.0,0.38,0.0,0.56,2,321,0
0.45,0.0,0.0,0.17,5,178,1
0.12,0.0,0.17,0.62,3,212,0
0.2,0.12,0.03,0.92,2,207,0
0.06,0.0,0.0,0.0,1,500,0
0.15,1.0,0.53,0.07,2,484,1
0.47,0.32,0.66,0.0,3,212,1
1.44,0.0,0.67,0.22,2,301,1
1.16,1.11,0.0,0.21,3,190,1
0.72,0.33,0.31,0.25,7,189,1
0.0,0.0,0.13,0.54,2,388,0
0.0,0.0,0.47,0.91,4,461,0
0.34,0.41,0.02,0.0,4,273,0
0.14,0.7,0.21,0.46,1,267,0
0.52,0.0,0.0,0.05,3,389,1
0.09,0.19,0.0,0.65,4,375,0
0.0,0.0,0.51,0.76,2,314,0
0.72,0.0,0.12,0.96,2,366,0
0.0,0.24,0.34,0.24,1,635,0
0.0,0.0,0.0,0.0,4,389,1
1.51,0.78,0.0,0.56,4,206,1
0.0,1.57,0.3,0.23,6,254,1
0.03,0.23,0.46,0.69,2,373,0
0.06,0.48,0.23,0.83,2,485,0
0.61,0.09,0.49,0.28,3,168,1
0.0,0.57,0.49,0.0,2,397,0
0.0,0.2,0.44,0.83,2,532,0
1.42,0.71,0.27,0.45,4,310,1
0.0,0.0,0.0,0.26,3,321,1
0.12,0.0,0.0,0.43,0,537,0
0.28,1.04,0.0,0.74,5,631,0
0.59,0.31,0.33,0.2,3,352,0
0.45,1.0,0.72,0.56,3,325,1
0.08,0.36,0.0,0.49,1,486,0
1.32,0.0,0.0,0.65,0,317,1
0.8,0.44,0.0,1.36,0,631,0
0.0,0.23,0.0,0.41,5,371,1
0.56,1.03,0.7,0.0,3,155,1
0.0,0.1,0.28,0.02,1,479,0
0.28,0.23,0.24,0.86,0,416,0
0.18,0.0,0.63,0.07,5,158,0
0.0,0.36,0.36,0.18,2,429,0
0.0,0.0,0.04,0.21,3,291,0
0.33,0.23,0.35,0.42,1,413,0
0.55,0.11,0.0,0.58,2,388,0
0.21,0.78,0.0,0.64,0,455,0
0.04,1.42,0.45,0.31,5,136,1
0.42,0.21,0.0,0.0,2,529,0
0.06,0.61,0.06,0.12,2,193,1
0.47,0.09,0.0,0.43,3,410,0
0.57,0.53,0.89,0.15,5,331,1
1.03,0.1,0.0,0.17,2,679,0
0.14,0.07,0.26,0.0,1,497,0
0.11,0.49,0.15,0.44,2,649,0
0.48,0.04,0.5,0.97,1,407,0
2.0,1.18,0.38,0.45,7,336,1
0.09,0.0,0.0,0.37,1,464,0
0.13,0.41,0.09,0.1,0,379,0
0.41,0.78,0.0,1.15,2,254,0
0.0,0.42,0.25,0.04,0,297,0
0.13,0.64,0.3,0.16,1,202,0
0.28,0.0,0.77,0.68,1,464,0
0.55,0.27,0.0,0.0,0,381,0
0.08,0.66,0.79,0.0,4,375,1
0.0,0.13,0.01,0.7,2,289,0
0.0,0.43,0.2,0.81,3,460,0
0.0,0.23,0.25,0.67,3,504,0
0.42,0.59,0.94,0.39,3,331,1
0.2,0.0,0.42,0.02,2,173,0
0.0,0.0,0.0,0.39,1,532,0
0.04,0.35,0.4,0.06,1,159,0
0.02,0.82,0.28,0.64,4,467,0
0.12,0.61,0.15,0.77,4,638,0
0.75,0.26,0.0,0.0,6,238,1
0.45,0.63,0.76,0.6,1,498,0
1.28,0.58,0.0,0.3,1,310,1
0.66,1.11,0.0,0.15,1,316,1
0.12,0.11,0.0,0.26,1,20,0
0.35,0.53,0.6,0.64,2,305,0
0.43,0.37,0.37,0.3,1,515,0
0.0,0.66,0.13,0.07,5,185,1
1.26,0.76,0.52,0.01,3,413,1
0.0,0.0,0.21,0.1,3,373,0
0.93,0.54,0.3,0.37,1,393,1
1.75,0.29,0.7,0.54,1,408,1
1.09,1.75,0.71,0.0,2,224,1
0.79,0.05,0.2,0.72,1,292,0
0.0,0.47,0.14,0.24,1,423,0
0.32,0.49,0.26,0.46,0,256,0
0.24,0.59,0.21,1.02,0,532,0
0.33,0.0,0.08,0.0,2,395,1
0.63,0.38,0.15,0.33,2,370,1
0.28,0.42,0.57,1.21,3,199,0
0.34,1.39,0.58,0.28,1,243,1
0.32,0.71,0.88,0.05,6,284,1
0.0,1.29,0.04,0.45,2,199,1
1.03,0.92,0.51,0.0,4,542,1
0.04,0.0,0.0,0.0,1,291,0
0.48,0.12,0.0,0.37,1,447,0
1.38,1.8,0.12,0.0,5,402,1
0.58,0.63,0.23,0.76,0,161,0
0.91,0.19,0.0,0.59,2,599,0
0.21,0.5,0.03,0.21,1,353,0
0.0,0.52,0.0,0.69,2,365,0
0.09,0.13,0.21,0.74,2,383,0
0.62,0.38,0.02,0.14,2,563,0
0.53,1.22,0.5,0.12,7,167,1
0.4,0.94,0.76,0.11,3,153,1
1.06,1.58,0.51,0.0,5,328,1
0.4,0.0,0.35,0.15,1,53,0
0.0,0.47,0.97,0.27,3,227,1
1.47,0.37,0.28,0.0,2,365,1
0.71,0.15,0.34,0.24,2,472,0
0.13,1.13,0.59,0.33,6,24,1
1.51,0.46,0.06,0.0,7,103,1
1.18,0.97,0.87,0.29,2,261,1
0.07,0.35,0.08,0.61,0,285,0
1.87,0.42,0.5,0.0,1,224,1
1.2,0.39,0.67,0.0,4,92,1
0.79,0.66,1.09,0.7,0,456,1
0.29,0.31,0.17,0.29,0,370,0
0.07,0.11,0.39,0.29,2,655,0
0.25,0.33,0.35,0.48,0,295,0
0.68,0.18,0.11,1.02,0,605,0
0.42,0.2,0.08,0.77,2,474,0
0.0,0.4,0.0,0.05,1,374,0
0.19,0.0,0.0,0.72,0,466,0
0.78,0.21,0.23,0.71,1,421,0
0.19,0.11,0.12,0.13,0,436,0
0.0,0.0,0.17,0.79,1,346,0
0.82,0.0,0.41,0.39,1,267,0
0.0,0.61,0.01,0.0,1,206,1
1.14,0.97,0.14,0.16,2,254,1
0.14,0.0,0.2,0.54,2,514,0
0.57,0.0,0.0,0.36,2,182,0
0.09,0.17,0.51,0.44,0,345,0
0.59,0.67,0.38,0.16,0,483,0
0.41,0.14,0.22,0.69,0,514,0
0.32,0.59,0.6,0.43,1,96,0
0.56,0.78,0.64,0.18,5,414,1
0.87,1.15,0.11,0.5,3,277,1
0.56,0.0,0.24,0.0,0,388,0
0.0,0.48,0.0,0.09,1,595,0
0.0,0.1,0.23,0.0,1,248,0
0.43,0.46,0.0,0.68,2,52,0
0.44,0.0,0.32,0.0,1,509,0
1.35,1.23,0.44,0.2,1,231,1
0.37,0.31,0.22,0.6,1,98,0
1.95,0.16,0.39,0.31,2,114,1
0.49,0.32,0.0,0.0,4,576,0
0.24,0.12,0.29,0.42,3,177,0
0.2,0.41,0.34,0.61,1,209,1
0.16,0.68,0.0,1.14,0,245,0
1.1,0.86,0.17,0.0,2,274,1
0.86,1.04,0.33,0.2,2,496,1
0.13,1.31,0.42,0.51,4,20,1
1.26,1.1,0.76,0.33,0,316,1
0.22,0.0,0.0,0.39,3,141,0
0.12,0.51,0.0,0.67,0,832,0
0.0,0.0,0.24,0.2,4,300,0
0.37,0.48,0.6,0.38,3,300,0
1.15,0.03,0.55,0.19,2,280,1
0.5,0.38,0.75,0.12,3,170,1
0.5,0.32,0.27,0.65,1,560,0
0.44,0.26,0.64,0.22,0,34,1
0.7,0.0,0.0,0.0,3,414,0
0.0,1.19,0.5,0.0,2,257,1
0.26,0.23,0.0,1.45,1,524,0
0.65,0.0,0.23,0.63,1,118,0
1.03,0.69,0.15,0.13,4,240,1
0.61,0.45,0.47,0.11,4,415,1
0.0,0.7,0.18,0.65,2,451,0
1.38,0.73,0.07,0.0,2,406,1
0.38,0.0,0.19,0.0,4,623,0
0.0,0.35,0.31,0.4,2,495,0
0.68,0.18,0.0,0.57,2,340,1
0.93,0.42,0.12,0.8,1,183,0
0.44,0.44,0.56,0.31,1,651,0
0.0,0.0,0.34,0.77,3,252,1
0.3,0.18,0.26,0.7,0,658,0
0.83,1.23,0.0,0.57,2,66,1
0.03,0.17,0.07,0.21,4,173,1
0.01,0.3,0.0,0.61,0,545,0
0.0,0.26,0.0,0.26,0,20,0
0.0,0.0,0.24,0.45,5,429,1
0.25,1.12,0.2,0.0,2,90,1
0.0,0.39,0.06,0.6,0,527,0
0.54,0.82,0.35,0.65,2,184,0
0.11,0.71,0.43,0.23,1,20,1
0.9,0.34,0.25,0.13,4,252,1
0.39,0.29,0.08,0.23,0,446,0
1.27,0.97,0.39,0.59,5,255,1
0.74,0.02,0.07,0.0,3,251,1
0.52,0.15,0.0,0.0,2,236,1
0.34,0.0,0.0,0.38,1,304,0
0.44,0.04,0.04,0.05,3,463,0
0.0,0.19,0.36,0.48,1,345,0
0.9,0.6,0.54,0.52,2,418,0
0.39,0.74,0.21,0.82,0,196,0
0.46,0.33,0.08,0.61,3,479,0
0.0,0.09,0.34,0.63,0,117,0
0.0,0.95,0.37,0.58,1,87,0
0.62,0.07,0.06,0.37,0,360,0
0.32,0.27,0.73,0.89,3,98,1
0.0,0.0,0.45,0.57,3,423,0
0.56,0.62,0.62,0.32,1,276,0
0.95,0.09,0.63,0.0,5,429,1
0.67,0.93,0.16,0.99,1,405,0
0.37,0.99,0.09,0.51,2,254,1
1.26,1.13,1.14,0.16,4,135,1
0.6,0.22,0.12,0.41,2,540,0
0.49,0.62,0.71,0.0,1,259,1
0.0,0.0,0.0,0.36,2,450,0
0.19,0.64,0.47,0.49,1,497,0
0.5,0.44,0.0,0.54,1,88,0
0.93,0.19,0.41,0.38,1,63,1
1.03,0.72,0.62,0.14,3,125,1
1.1,1.21,0.62,0.13,5,301,1
1.35,1.41,0.14,0.2,2,259,1
0.13,0.06,0.0,1.03,1,383,0
0.0,0.0,0.01,0.76,1,473,0
0.64,0.97,0.16,0.38,1,328,1
0.25,0.56,0.0,0.41,0,378,0
0.86,0.52,0.79,0.14,0,146,1
0.93,0.19,0.12,0.0,3,306,1
1.26,0.0,0.11,0.4,3,252,1
0.04,0.3,0.0,1.46,3,435,0
0.05,0.01,0.14,0.53,2,144,0
0.31,0.94,0.0,0.1,7,244,1
0.31,0.52,0.36,0.0,2,523,0
0.08,0.18,0.61,0.26,2,416,0
0.2,0.81,0.25,0.94,0,116,0
2.12,0.58,0.8,0.34,2,268,1
0.49,0.81,0.28,0.61,2,163,1
0.0,0.57,0.0,0.72,1,108,0
1.44,0.78,0.01,0.22,0,231,1
0.28,0.42,0.0,0.0,3,469,0
0.0,0.56,0.0,1.06,1,450,0
0.57,0.63,0.54,0.2,1,196,1
0.25,0.16,0.0,0.83,0,378,0
0.59,0.15,0.23,0.45,3,336,0
0.61,0.0,0.0,0.0,3,208,0
0.15,0.12,0.0,0.63,1,309,0
0.19,0.6,0.0,0.91,1,168,0
0.45,0.27,0.03,0.6,2,244,0
0.07,0.0,0.0,0.68,0,394,0
0.43,0.0,0.53,0.29,1,361,0
0.22,0.7,0.0,0.0,5,870,0
2.42,0.49,0.51,0.05,0,344,1
1.04,0.73,0.25,0.52,2,302,1
0.37,0.4,0.97,0.0,2,36,1
0.2,0.0,0.0,0.0,1,317,0
0.74,0.63,0.14,0.0,2,324,0
0.1,0.08,0.0,0.11,3,515,0
0.58,1.49,0.35,0.2,4,278,1
0.97,0.22,0.09,0.47,2,349,0
0.0,0.63,0.0,0.61,4,311,0
1.24,0.15,0.98,0.18,1,27,1
0.64,0.46,0.26,0.76,0,275,0
0.0,0.42,0.04,0.69,2,318,0
0.24,0.39,0.19,0.23,2,391,0
1.16,0.21,0.18,0.0,4,296,1
0.33,0.13,0.0,0.0,0,342,0
0.0,0.77,0.17,0.32,0,339,0
0.2,0.0,0.0,0.45,0,104,0
0.38,0.2,0.0,0.52,1,466,0
0.0,0.2,0.0,0.6,1,268,0
0.23,0.87,0.0,0.0,2,241,1
0.15,0.07,0.29,0.34,2,590,0
0.0,0.29,0.0,0.56,5,349,0
0.12,0.15,0.78,0.85,1,216,0
