X1,X2,Class
-1.113,6.344,1
-2.054,-2.948,0
-2.113,6.387,1
2.617,3.81,0
-0.373,-1.21,1
-0.7,5.502,1
1.378,6.41,1
0.318,-0.203,1
2.617,7.107,1
1.682,1.999,1
-0.124,3.638,1
-0.742,7.831,1
2.92,0.977,0
1.307,5.945,1
2.707,0.502,0
-2.289,5.791,1
2.103,3.608,1
0.822,-0.62,1
-2.268,1.554,0
0.53,0.494,1
1.117,-2.141,0
-2.926,-2.672,0
-0.274,0.811,1
1.952,-2.791,0
-1.228,-1.18,0
-0.249,4.977,1
-0.346,4.789,1
