Weight_g,Diameter_cm,Length_cm,Sweetness,Colour,Fruit
66.5,2.6,18.9,8.2,Green,Banana
164.3,7.6,7.9,8.2,Red,Apple
3.8,2.1,1.9,7.6,Purple,Grapes
219.1,8.0,10.2,8.0,Green,Mango
222.7,10.4,10.8,8.7,Green,Mango
152.8,7.5,8.6,6.7,Red,Apple
159.8,8.2,8.3,6.3,Orange,Orange
218.7,6.3,5.7,5.1,Orange,Orange
5.1,1.9,2.0,6.7,Green,Grapes
168.8,7.0,7.3,7.1,Orange,Orange
112.5,7.5,8.1,6.1,Orange,Orange
154.9,8.3,8.7,3.5,Orange,Orange
5.4,2.1,1.8,6.8,Green,Grapes
6.1,1.4,2.5,7.6,Green,Grapes
229.6,7.9,12.0,8.1,Orange,Mango
156.6,7.6,7.0,5.6,Green,Apple
247.4,7.4,7.8,8.4,Yellow,Apple
4.7,2.0,2.5,8.1,Purple,Grapes
105.1,3.6,17.3,6.8,Yellow,Banana
248.4,9.6,9.0,5.6,Orange,Orange
5.9,2.0,2.3,6.6,Purple,Grapes
189.0,7.2,7.4,7.1,Green,Apple
167.1,7.3,5.6,6.9,Red,Apple
127.6,3.5,19.8,5.4,Yellow,Banana
178.8,8.5,8.8,4.6,Orange,Orange
163.8,7.6,7.2,7.8,Green,Apple
298.9,9.3,11.9,6.9,Orange,Mango
194.7,7.9,10.3,8.7,Yellow,Mango
161.0,3.5,22.1,7.6,Green,Banana
138.6,3.1,22.7,6.0,Yellow,Banana
125.1,3.5,19.2,7.7,Green,Banana
93.9,3.5,19.0,7.4,Yellow,Banana
186.4,6.7,8.4,6.9,Red,Apple
140.3,9.0,7.7,5.2,Yellow,Orange
182.1,6.7,7.2,8.9,Red,Apple
140.1,7.0,8.5,5.4,Green,Apple
135.3,6.4,8.4,5.5,Red,Apple
156.2,9.5,9.5,5.8,Orange,Orange
134.8,4.0,19.2,6.5,Yellow,Banana
3.7,1.7,2.3,8.4,Purple,Grapes
207.4,6.9,11.0,8.0,Green,Mango
127.8,2.9,19.5,8.1,Yellow,Banana
6.3,2.1,2.4,7.6,Green,Grapes
131.7,8.0,13.6,8.7,Yellow,Mango
145.7,3.3,18.9,6.1,Yellow,Banana
117.0,3.5,18.1,7.4,Green,Banana
173.4,7.1,6.4,5.6,Green,Apple
148.3,7.8,7.8,7.3,Yellow,Orange
132.8,3.1,20.4,7.0,Yellow,Banana
104.9,3.4,15.4,5.9,Yellow,Banana
155.8,7.2,7.2,7.5,Red,Apple
182.5,6.2,8.2,8.8,Red,Apple
147.3,6.1,7.1,6.8,Red,Apple
274.2,8.9,11.9,7.5,Green,Mango
154.3,6.9,8.2,8.5,Yellow,Apple
206.6,8.1,6.8,5.6,Orange,Orange
200.8,9.2,6.3,5.4,Green,Apple
245.4,8.7,9.6,9.1,Orange,Mango
120.3,6.6,8.1,6.7,Red,Apple
168.0,5.4,8.6,4.5,Red,Apple
246.6,6.9,12.4,7.7,Green,Mango
236.0,8.9,10.1,6.7,Green,Mango
97.4,3.6,16.7,7.6,Green,Banana
130.1,9.0,7.7,5.3,Red,Apple
163.5,7.1,7.5,6.1,Orange,Orange
185.7,7.4,7.7,7.6,Red,Apple
155.4,6.5,8.1,6.7,Green,Apple
134.8,6.5,7.7,7.0,Red,Apple
135.6,7.3,7.2,5.0,Green,Apple
166.6,7.4,7.0,6.8,Red,Apple
121.2,3.2,18.0,6.0,Yellow,Banana
141.2,3.3,17.0,7.5,Green,Banana
127.9,3.3,23.6,7.5,Yellow,Banana
146.1,8.6,6.8,5.7,Red,Apple
112.4,3.2,13.9,7.5,Yellow,Banana
162.7,9.0,7.1,4.4,Orange,Orange
178.7,8.0,9.0,7.2,Yellow,Orange
197.8,7.9,8.6,6.2,Orange,Orange
204.4,9.7,12.7,8.7,Green,Mango
227.3,7.1,10.0,8.3,Orange,Mango
3.3,1.6,2.3,6.8,Purple,Grapes
170.7,7.8,7.2,4.8,Red,Apple
141.6,7.7,8.4,5.9,Red,Apple
258.1,8.0,11.8,7.7,Yellow,Mango
145.4,8.7,9.4,7.1,Green,Mango
125.5,3.5,18.3,7.7,Yellow,Banana
77.7,3.2,19.6,7.2,Yellow,Banana
145.9,5.8,7.9,5.9,Green,Apple
200.7,8.4,13.6,8.4,Yellow,Mango
107.4,3.2,17.7,7.1,Yellow,Banana
132.2,7.7,7.8,6.9,Green,Apple
208.2,7.5,12.7,8.6,Yellow,Mango
5.2,2.5,2.6,7.7,Red,Grapes
6.2,2.5,2.4,8.2,Purple,Grapes
5.7,2.5,2.1,7.7,Red,Grapes
283.6,6.2,11.1,8.1,Green,Mango
191.2,8.3,6.7,3.6,Orange,Orange
125.7,6.7,8.4,8.8,Orange,Orange
165.5,7.8,8.0,4.6,Orange,Orange
142.2,7.7,7.0,6.6,Red,Apple
120.2,3.2,16.2,6.2,Yellow,Banana
197.0,7.7,7.3,3.9,Orange,Orange
99.3,8.6,10.1,9.2,Orange,Mango
133.2,8.6,8.4,6.2,Orange,Orange
4.3,2.2,2.1,8.2,Red,Grapes
231.9,6.7,10.2,8.2,Green,Mango
144.3,4.2,19.9,8.0,Yellow,Banana
144.5,7.5,7.6,6.0,Yellow,Orange
128.9,4.0,20.2,8.0,Yellow,Banana
169.4,7.7,7.1,5.1,Red,Apple
130.2,2.9,18.6,6.5,Yellow,Banana
158.6,6.3,6.7,5.5,Orange,Orange
117.6,3.8,17.1,7.5,Yellow,Banana
144.1,8.3,7.7,7.4,Red,Apple
129.3,6.9,7.6,4.8,Red,Apple
97.2,3.0,20.1,6.7,Yellow,Banana
8.3,2.3,2.4,7.8,Purple,Grapes
203.2,8.4,9.8,6.4,Orange,Orange
124.3,6.6,8.9,8.0,Red,Apple
6.5,1.8,2.5,6.6,Green,Grapes
149.8,7.2,8.2,5.3,Red,Apple
209.1,8.8,11.1,8.3,Yellow,Mango
182.0,8.8,8.6,5.0,Orange,Orange
153.3,7.9,6.0,5.2,Red,Apple
222.3,7.5,13.2,8.4,Green,Mango
163.5,6.6,8.8,6.1,Red,Apple
7.5,2.7,2.2,8.8,Green,Grapes
183.8,8.3,8.7,6.9,Red,Apple
198.5,6.8,8.5,5.5,Orange,Orange
174.6,7.0,6.9,7.3,Yellow,Apple
152.2,9.3,7.6,2.5,Orange,Orange
118.4,3.0,18.3,6.8,Yellow,Banana
155.7,3.6,18.8,4.9,Yellow,Banana
162.0,9.2,8.9,4.6,Green,Apple
193.9,8.7,6.5,6.3,Red,Apple
172.4,7.4,6.6,6.5,Red,Apple
84.3,3.5,17.1,7.0,Yellow,Banana
96.0,8.7,7.8,8.7,Red,Apple
4.8,2.1,2.5,7.0,Green,Grapes
5.4,1.8,2.1,7.9,Green,Grapes
112.0,3.4,19.9,5.6,Yellow,Banana
116.6,6.5,7.6,6.3,Red,Apple
178.9,8.6,8.2,7.6,Yellow,Apple
238.8,8.0,8.4,5.9,Orange,Orange
234.4,8.4,10.9,6.3,Yellow,Mango
365.7,9.5,8.9,7.7,Yellow,Mango
147.0,3.5,15.1,7.1,Yellow,Banana
176.3,7.4,7.7,6.9,Green,Apple
252.4,6.2,9.4,8.6,Yellow,Mango
98.3,3.2,14.2,5.9,Yellow,Banana
197.1,8.3,7.9,4.3,Orange,Orange
188.9,8.7,8.8,5.3,Orange,Orange
211.1,9.5,9.6,7.1,Orange,Mango
101.5,7.5,7.5,6.6,Green,Apple
165.3,7.6,8.7,6.6,Orange,Orange
3.1,1.6,2.0,8.6,Green,Grapes
148.7,7.2,7.4,7.0,Red,Apple
148.8,3.7,16.2,7.0,Yellow,Banana
3.8,2.2,2.4,7.7,Purple,Grapes
113.6,3.7,17.2,6.4,Yellow,Banana
121.7,3.7,18.8,8.0,Green,Banana
172.0,9.8,7.9,7.3,Yellow,Apple
125.8,6.7,8.5,4.4,Orange,Orange
116.0,3.7,20.2,7.2,Yellow,Banana
150.0,6.4,7.8,6.1,Red,Apple
166.7,7.2,8.0,6.1,Yellow,Apple
144.6,7.2,6.9,6.6,Red,Apple
192.3,8.5,7.7,5.0,Orange,Orange
283.2,8.4,10.0,5.6,Yellow,Mango
117.5,3.6,15.4,6.9,Yellow,Banana
8.1,1.8,1.8,7.0,Purple,Grapes
171.0,7.6,7.4,5.1,Green,Apple
299.5,8.7,11.5,8.0,Red,Mango
120.6,4.1,18.9,8.2,Yellow,Banana
138.7,8.7,8.3,5.9,Orange,Orange
164.1,6.7,7.6,6.4,Orange,Orange
137.1,3.9,17.8,7.0,Yellow,Banana
6.9,2.0,2.6,6.5,Green,Grapes
219.9,7.3,7.0,6.8,Red,Apple
164.9,7.5,8.3,6.6,Yellow,Apple
129.5,7.1,7.0,8.9,Green,Apple
140.8,8.5,6.4,6.2,Red,Apple
2.0,2.0,2.3,6.4,Purple,Grapes
159.5,7.1,8.0,6.9,Red,Apple
276.6,7.4,8.9,8.1,Yellow,Mango
4.3,2.1,1.7,10.0,Purple,Grapes
181.3,7.2,7.4,7.4,Red,Apple
161.1,9.5,7.3,4.7,Orange,Orange
174.0,8.2,8.2,5.2,Green,Apple
114.0,3.5,19.1,7.3,Green,Banana
182.3,8.9,5.7,7.8,Green,Apple
3.5,2.2,2.0,6.7,Purple,Grapes
209.8,8.7,11.1,7.7,Yellow,Mango
108.4,3.6,21.7,6.8,Yellow,Banana
189.8,8.5,6.5,5.8,Orange,Orange
3.7,2.2,2.0,7.2,Red,Grapes
217.9,8.6,10.7,8.3,Yellow,Mango
151.2,3.1,21.6,7.6,Yellow,Banana
126.9,3.3,18.6,6.8,Yellow,Banana
95.1,3.1,18.8,9.8,Yellow,Banana
209.0,6.5,7.7,5.3,Orange,Orange
4.8,2.1,2.6,7.7,Red,Grapes
158.6,6.9,7.1,8.8,Orange,Orange
6.4,1.6,2.3,8.1,Green,Grapes
4.0,2.0,2.3,8.3,Purple,Grapes
232.2,10.2,8.8,6.9,Yellow,Orange
276.6,9.1,9.8,6.1,Yellow,Mango
153.0,7.8,6.6,7.2,Orange,Orange
139.9,4.1,20.8,5.9,Green,Banana
101.6,5.1,15.1,4.8,Yellow,Banana
167.0,8.7,7.8,7.0,Red,Apple
125.1,3.4,22.5,7.4,Yellow,Banana
125.0,2.5,14.6,8.5,Yellow,Banana
178.5,7.2,8.1,5.7,Orange,Orange
100.4,8.2,8.0,7.8,Orange,Orange
153.8,8.1,7.3,6.1,Red,Apple
150.4,8.0,8.2,4.7,Red,Apple
128.8,6.7,6.3,6.9,Green,Apple
10.0,2.1,2.4,6.8,Purple,Grapes
162.0,7.4,8.7,4.7,Red,Apple
173.7,6.3,7.6,6.1,Red,Apple
103.1,3.1,19.2,6.8,Yellow,Banana
178.5,7.8,7.5,6.4,Red,Apple
144.1,7.1,8.2,8.1,Yellow,Orange
245.2,8.0,9.8,8.8,Yellow,Mango
157.0,7.4,7.5,5.5,Red,Apple
186.1,8.3,10.2,6.1,Yellow,Mango
3.5,1.6,2.4,7.4,Purple,Grapes
116.3,7.6,7.0,5.6,Red,Apple
248.9,7.0,10.4,8.0,Green,Mango
219.7,7.2,9.2,6.4,Yellow,Orange
143.2,7.5,7.7,5.5,Yellow,Orange
193.8,6.8,7.9,4.0,Green,Apple
226.1,7.8,7.8,6.1,Orange,Orange
174.4,6.7,7.7,3.6,Yellow,Apple
7.2,2.0,2.9,8.4,Green,Grapes
196.8,5.8,8.3,4.3,Orange,Orange
132.7,3.3,20.2,7.2,Yellow,Banana
148.9,10.3,13.9,7.0,Orange,Mango
3.6,1.2,2.1,5.8,Purple,Grapes
115.9,6.6,8.2,7.4,Red,Apple
182.9,8.3,7.8,5.3,Orange,Orange
4.2,1.8,2.2,6.7,Green,Grapes
161.3,9.5,8.2,4.0,Yellow,Orange
224.5,8.3,7.7,4.5,Orange,Orange
145.9,5.9,8.4,2.9,Red,Apple
220.4,6.8,9.5,8.5,Yellow,Mango
168.7,7.8,7.8,8.1,Red,Apple
153.6,3.8,8.9,7.7,Green,Banana
120.2,2.6,17.9,5.6,Yellow,Banana
4.7,1.9,1.8,6.4,Purple,Grapes
156.0,3.9,15.5,7.1,Yellow,Banana
126.8,3.6,18.7,6.5,Yellow,Banana
134.0,6.8,6.8,5.8,Red,Apple
180.4,7.5,6.2,4.1,Green,Apple
182.0,8.2,11.2,7.6,Green,Mango
127.9,3.3,14.9,8.1,Yellow,Banana
153.6,8.0,9.1,7.8,Orange,Orange
139.6,7.9,7.3,6.0,Red,Apple
199.5,8.7,8.5,8.4,Orange,Orange
142.7,3.7,19.5,6.6,Green,Banana
146.3,8.6,9.2,7.4,Orange,Orange
120.9,3.5,17.4,7.1,Yellow,Banana
4.9,1.9,2.6,7.9,Green,Grapes
174.9,7.9,8.0,6.4,Orange,Orange
7.7,1.8,2.5,7.8,Green,Grapes
236.2,7.8,9.8,7.4,Yellow,Mango
174.4,7.7,8.3,5.9,Orange,Orange
166.6,7.6,9.1,6.4,Orange,Orange
164.7,7.8,7.8,4.4,Red,Apple
148.3,7.9,6.7,3.6,Red,Apple
156.0,3.3,17.6,7.1,Green,Banana
234.2,7.3,12.6,8.2,Red,Mango
132.8,6.6,6.9,7.3,Red,Apple
278.5,8.8,12.3,9.6,Orange,Mango
160.4,7.4,7.9,7.9,Green,Apple
287.9,7.8,11.1,9.2,Yellow,Mango
124.3,2.7,16.8,8.4,Yellow,Banana
165.4,7.8,6.8,6.4,Red,Apple
4.5,2.0,2.2,7.8,Green,Grapes
154.5,7.0,8.1,6.9,Green,Apple
137.9,3.5,17.7,9.4,Yellow,Banana
126.0,7.7,8.6,5.4,Green,Apple
131.5,7.8,7.4,5.6,Red,Apple
195.7,6.0,8.1,6.0,Yellow,Orange
278.8,9.7,9.0,7.6,Orange,Mango
6.1,2.0,2.4,7.0,Green,Grapes
149.3,8.9,8.2,6.9,Red,Apple
