Property_ID,List_Price,Market_Value,Price_Premium_%,Area_sqft,Bedrooms,Bathrooms,Age_Years,Condition_Score,Crime_Rate,School_Rating,Distance_to_City_km,Listing_Photos,Days_on_Market,Unsold_6_Months
P111,290000,283000,2.5,1630,4,1,11,8.5,40.2,4.9,17.3,27,80,0
P112,301000,269000,12.0,1477,3,3,38,5.3,32.7,5.8,12.2,11,216,1
P113,161000,154000,4.8,1128,3,1,34,3.9,49.3,3.3,16.4,38,197,1
P114,164000,142000,15.2,759,2,1,24,6.2,29.1,6.3,11.3,31,213,1
P115,258000,221000,16.8,1351,3,1,21,7.5,38.4,3.2,13.6,8,218,1
P116,218000,188000,15.8,1226,2,1,33,6.6,44.5,4.6,15.9,36,251,1
P117,446000,385000,15.8,1854,3,2,0,8.7,20.9,8.1,11.4,13,223,1
P118,208000,217000,-4.3,1197,3,2,24,5.2,27.2,5.8,13.0,24,48,0
P119,402000,368000,9.3,2160,5,3,35,6.1,32.2,5.3,13.0,7,184,1
P120,240000,241000,-0.5,1201,3,3,38,4.7,11.9,8.1,4.7,8,70,0
P121,160000,177000,-9.8,1009,2,1,15,6.9,35.3,5.6,12.5,13,20,0
P122,275000,269000,2.4,1486,3,2,25,4.9,30.5,5.5,13.3,23,161,0
P123,331000,283000,16.9,1590,3,3,33,4.4,30.3,5.7,8.9,24,180,0
P124,385000,353000,9.1,2153,4,3,32,5.5,37.8,5.9,15.2,34,125,0
P125,418000,339000,23.2,1799,4,2,36,5.3,26.7,6.7,11.6,10,315,1
P126,300000,281000,6.6,1696,3,2,30,6.7,37.0,6.8,14.0,31,165,0
P127,429000,338000,27.0,1777,6,4,5,9.6,33.5,5.4,15.7,5,338,1
P128,235000,220000,6.6,1056,2,2,30,6.9,19.4,7.4,5.9,15,90,0
P129,188000,179000,5.2,1157,3,1,24,5.8,36.5,5.3,15.7,11,182,1
P130,109000,117000,-6.5,1112,3,1,41,2.3,53.2,2.6,19.7,9,169,0
P131,254000,221000,15.0,1078,3,2,25,3.6,18.2,9.2,7.6,25,169,0
P132,159000,158000,0.5,681,3,1,20,5.5,4.4,10.0,1.0,36,7,0
P133,277000,279000,-0.8,1703,3,2,27,4.8,33.9,4.8,14.3,28,128,0
P134,232000,199000,16.5,1298,3,2,5,7.4,44.9,2.8,19.6,34,215,1
P135,152000,132000,15.4,772,1,2,28,5.3,30.7,5.4,11.1,25,202,1
P136,232000,201000,15.2,1073,2,2,6,8.1,28.1,4.5,11.9,6,176,0
P137,239000,235000,1.7,1329,3,2,9,6.4,36.8,5.5,15.5,17,79,0
P138,309000,296000,4.5,1894,4,2,19,6.4,44.3,5.3,16.9,33,160,0
P139,461000,441000,4.5,2300,5,4,24,5.4,26.9,7.1,7.7,6,87,0
P140,576000,514000,12.0,2687,6,4,22,6.4,33.2,5.8,10.5,8,194,1
P141,278000,234000,19.0,1410,3,3,15,8.9,42.7,2.4,17.7,34,271,1
P142,187000,173000,8.3,1015,2,1,45,1.0,35.8,8.5,16.1,7,264,1
P143,124000,101000,22.8,500,2,1,49,2.0,10.6,9.2,4.4,38,164,0
P144,321000,284000,13.1,1598,3,2,30,5.9,29.5,5.8,10.6,31,156,0
P145,152000,148000,2.9,855,2,2,25,4.7,31.4,5.2,16.2,28,123,0
P146,253000,225000,12.5,1220,2,2,14,7.3,32.8,4.6,8.9,23,155,0
P147,265000,220000,20.4,1110,2,2,20,8.1,27.8,8.1,9.7,8,170,0
P148,252000,205000,23.0,1477,3,2,25,4.7,45.1,2.9,22.9,19,329,1
P149,418000,361000,15.7,1858,4,3,16,7.8,35.6,7.4,11.1,33,147,0
P150,266000,253000,5.2,1387,3,3,14,6.8,34.5,5.4,10.1,36,152,0
P151,289000,281000,3.0,1268,3,1,18,7.6,14.5,10.0,3.8,20,42,0
P152,224000,203000,10.2,1087,2,1,20,7.7,27.9,5.9,15.6,34,160,0
P153,187000,156000,20.1,711,1,1,24,6.5,16.7,9.4,6.1,32,111,0
P154,185000,170000,8.9,1135,2,1,28,6.1,39.4,4.8,14.7,7,185,1
P155,295000,270000,9.1,1347,3,2,19,7.8,22.3,7.4,8.3,26,133,0
P156,399000,378000,5.5,2008,5,3,23,5.5,24.0,6.8,9.6,26,145,0
P157,248000,243000,2.0,1505,3,2,21,5.5,48.5,4.4,16.2,24,91,0
P158,337000,326000,3.5,1631,4,2,11,9.0,27.3,7.8,14.0,32,51,0
P159,242000,228000,6.2,1266,3,2,46,1.1,13.3,7.2,9.3,36,93,0
P160,167000,139000,20.5,882,1,1,34,1.8,30.1,5.5,14.2,24,271,1
P161,169000,164000,2.8,1252,2,1,29,3.8,45.0,3.3,16.1,16,229,1
P162,175000,166000,5.5,942,2,1,27,4.2,32.3,6.3,9.4,39,95,0
P163,360000,370000,-2.8,2345,6,3,30,6.8,40.3,4.2,16.7,38,69,0
P164,217000,195000,11.4,1246,2,1,37,3.4,35.8,5.7,10.7,29,169,0
P165,378000,322000,17.3,1920,4,2,47,3.5,28.2,5.7,11.9,27,208,1
P166,146000,122000,19.6,910,3,1,38,3.9,46.7,2.0,19.4,8,382,1
P167,339000,317000,6.8,1846,5,2,7,8.9,41.0,3.4,16.2,19,121,0
P168,364000,330000,10.2,1573,3,2,11,8.4,23.2,5.9,8.0,11,75,0
P169,232000,224000,3.6,1363,2,2,38,6.1,31.0,3.8,13.9,23,127,0
P170,172000,157000,9.8,1298,3,2,25,7.1,48.3,2.0,23.3,33,170,0
P171,218000,202000,7.8,1095,2,2,24,4.5,27.2,7.6,11.0,12,130,0
P172,246000,233000,5.5,1409,3,3,42,2.5,30.3,6.9,12.1,39,193,1
P173,210000,198000,6.2,1211,2,1,29,5.4,40.3,5.3,15.0,9,170,0
P174,139000,127000,9.1,902,1,1,36,3.4,42.0,2.3,15.8,8,305,1
P175,161000,157000,2.4,798,2,1,27,7.5,25.6,6.2,6.5,39,52,0
P176,225000,219000,2.8,1284,3,2,48,3.0,19.8,8.1,9.6,8,161,0
P177,600000,498000,20.4,2229,5,4,35,6.3,12.0,9.0,3.3,30,190,1
P178,374000,289000,29.4,1516,3,2,28,7.4,26.9,7.2,11.0,31,169,0
P179,228000,242000,-5.8,1259,3,1,17,5.3,29.0,6.1,6.2,16,41,0
P180,253000,270000,-6.3,1495,3,2,15,6.2,33.0,5.8,11.1,7,57,0
P181,320000,332000,-3.6,1808,5,4,46,3.1,18.7,6.8,11.1,15,137,0
P182,290000,279000,4.1,1376,3,2,17,7.5,18.4,7.4,9.7,7,129,0
P183,258000,228000,13.1,1151,2,2,30,4.5,15.9,8.1,4.2,28,115,0
P184,396000,359000,10.3,2045,4,2,16,9.5,37.0,4.8,18.8,36,179,0
P185,275000,258000,6.5,1516,3,2,22,5.1,36.7,4.5,13.7,39,111,0
P186,369000,336000,9.8,2168,5,3,35,3.7,28.8,5.4,14.7,33,160,0
P187,272000,275000,-1.2,1418,3,1,22,5.9,19.0,6.3,9.6,32,56,0
P188,195000,190000,2.8,879,2,1,14,6.7,13.6,8.7,5.3,35,25,0
P189,143000,136000,4.8,767,3,2,18,7.2,32.7,7.4,12.4,31,158,0
P190,346000,381000,-9.3,2248,5,2,23,4.9,28.4,6.4,17.9,27,43,0
P191,405000,429000,-5.5,2111,5,3,15,8.8,21.5,7.1,12.8,39,7,0
P192,199000,210000,-5.1,1131,2,1,16,8.2,28.9,5.5,14.6,16,71,0
P193,235000,210000,11.9,1062,2,2,29,5.8,21.8,6.0,9.3,19,192,1
P194,298000,278000,7.2,1994,4,3,14,7.8,45.5,1.3,19.0,36,190,1
P195,152000,138000,10.5,752,2,2,5,10.0,37.0,5.7,17.9,15,191,1
P196,171000,193000,-11.6,1047,1,2,7,10.0,41.3,4.1,13.4,15,7,0
P197,175000,191000,-8.4,1634,4,3,41,3.8,45.7,1.7,21.8,10,156,0
P198,250000,225000,11.0,1507,3,2,34,3.4,37.8,4.3,12.6,14,274,1
P199,168000,210000,-20.0,1189,3,2,16,8.2,42.3,3.7,11.6,25,7,0
P200,258000,222000,16.0,1351,2,1,36,3.9,30.1,4.7,13.4,36,215,1
P201,238000,269000,-11.4,1417,3,3,42,3.8,17.7,7.7,5.9,9,91,0
P202,377000,335000,12.6,1974,4,2,27,4.7,36.9,4.9,9.0,28,244,1
P203,230000,237000,-3.0,1458,3,2,12,6.0,38.1,3.8,17.2,31,71,0
P204,287000,251000,14.4,1411,4,3,27,4.9,34.9,5.3,16.5,36,156,0
P205,133000,99000,33.9,506,1,1,35,3.5,22.3,8.1,10.6,31,349,1
P206,206000,244000,-15.5,1606,3,2,35,4.6,37.4,4.3,15.4,10,73,0
P207,164000,147000,11.3,966,2,2,34,3.5,40.1,4.4,15.7,22,224,1
P208,143000,161000,-11.3,883,2,1,32,3.6,26.3,7.4,11.5,38,7,0
P209,245000,225000,8.8,1128,2,2,0,9.8,36.1,5.5,15.1,36,82,0
P210,251000,243000,3.1,1230,2,2,25,5.5,22.0,6.8,8.7,26,74,0
P211,350000,330000,6.2,1742,4,3,18,7.9,30.3,6.4,12.1,38,59,0
P212,98000,101000,-3.2,530,2,1,27,5.7,23.4,7.7,9.8,28,53,0
P213,260000,232000,12.0,1491,4,2,32,5.2,42.1,4.2,17.2,7,239,1
P214,185000,201000,-8.0,1169,3,1,28,4.4,26.0,6.0,11.8,36,17,0
P215,193000,166000,16.2,1131,2,2,49,1.7,36.0,5.0,12.6,10,331,1
P216,262000,259000,1.3,1866,4,3,47,2.9,42.8,3.4,19.6,18,222,1
P217,184000,199000,-7.6,1572,4,2,47,2.1,38.8,4.1,20.7,13,179,0
P218,394000,330000,19.4,1938,4,3,46,2.9,28.7,7.5,10.2,30,244,1
P219,234000,224000,4.4,1403,3,2,38,4.6,42.1,5.8,16.8,6,212,1
P220,194000,159000,22.2,926,2,1,13,8.9,43.2,4.6,15.3,27,231,1
P221,293000,253000,16.0,1425,3,2,12,6.7,36.6,5.9,15.6,35,140,0
P222,287000,293000,-2.2,1341,3,3,8,6.7,20.2,8.4,8.6,32,10,0
P223,197000,189000,4.2,1400,3,1,21,7.8,43.9,3.1,27.7,15,189,1
P224,189000,178000,6.1,1143,2,1,15,7.7,36.1,4.3,15.6,36,222,1
P225,281000,237000,18.7,1576,3,2,35,5.2,39.3,4.4,14.3,17,329,1
P226,358000,329000,8.9,1514,3,2,25,7.3,14.5,9.4,7.0,28,107,0
P227,500000,469000,6.6,2420,6,3,16,7.4,23.8,6.6,11.7,22,113,0
P228,428000,415000,3.2,2181,5,3,25,4.7,22.8,7.7,12.8,7,131,0
P229,172000,165000,4.5,1025,3,2,21,7.3,42.7,4.4,15.2,5,127,0
P230,240000,206000,16.7,1275,3,1,18,6.8,34.3,4.4,18.3,11,177,0
P231,141000,134000,5.0,731,2,1,30,5.7,24.2,6.1,12.5,37,71,0
P232,194000,191000,1.4,1130,2,1,35,2.7,35.5,6.7,13.2,38,101,0
P233,271000,271000,-0.1,1516,3,3,48,3.4,20.8,9.2,7.9,19,34,0
P234,313000,313000,0.0,1770,5,3,13,7.8,35.2,5.4,15.6,38,47,0
P235,176000,191000,-7.6,1010,2,1,20,6.1,25.6,6.5,13.3,6,32,0
P236,208000,212000,-1.8,1215,2,1,33,4.4,30.8,5.9,12.6,38,60,0
P237,117000,99000,18.5,500,1,1,21,5.3,27.4,6.9,9.3,13,183,1
P238,273000,265000,3.1,1304,3,2,24,7.3,25.7,8.5,9.2,6,81,0
P239,139000,125000,11.3,824,1,2,23,6.5,48.2,2.9,18.3,31,244,1
P240,144000,174000,-17.3,1175,2,2,9,8.6,45.6,2.0,22.3,18,19,0
P241,228000,207000,10.1,959,3,1,11,9.0,25.4,6.3,8.1,15,83,0
P242,309000,299000,3.5,1535,3,2,34,3.6,15.9,7.3,5.6,31,88,0
P243,119000,118000,0.7,670,1,1,8,9.7,40.2,3.0,14.0,16,83,0
P244,83000,78000,6.6,582,2,1,30,5.7,47.8,3.5,17.9,31,163,0
P245,474000,472000,0.5,2439,5,4,14,8.7,31.0,8.4,12.0,11,48,0
P246,125000,146000,-14.1,728,1,2,26,6.2,23.0,7.2,8.2,8,15,0
P247,203000,179000,13.3,837,1,2,33,7.9,10.4,7.5,5.2,16,132,0
P248,417000,389000,7.2,2264,4,3,37,3.6,20.0,7.5,10.9,26,128,0
P249,460000,450000,2.2,2648,6,4,21,6.0,36.8,4.8,12.2,12,132,0
P250,136000,141000,-3.7,980,2,2,32,2.5,38.8,5.6,18.5,10,154,0
P251,200000,218000,-8.2,1141,2,2,20,7.7,34.5,5.8,11.4,31,7,0
P252,301000,281000,7.0,1479,3,2,11,9.9,32.5,5.0,12.3,22,101,0
P253,375000,314000,19.5,2099,5,2,35,5.9,33.5,4.2,17.0,20,310,1
P254,216000,202000,6.8,888,1,1,15,7.7,15.4,9.9,1.0,13,94,0
P255,278000,300000,-7.4,1422,3,2,41,5.3,12.5,8.7,3.3,5,105,0
P256,386000,361000,7.0,1825,3,2,28,3.9,21.1,7.4,9.4,6,187,1
P257,317000,303000,4.5,1801,4,3,18,7.8,35.7,4.4,12.2,28,166,0
P258,336000,298000,12.8,1503,3,2,30,4.9,28.9,6.4,10.8,7,273,1
P259,286000,259000,10.5,1216,3,2,3,7.9,20.7,7.3,12.5,13,133,0
P260,114000,146000,-21.9,790,2,1,27,5.3,24.7,5.3,9.5,36,7,0
P261,276000,251000,9.9,1152,2,1,16,8.2,19.2,7.6,7.6,17,132,0
P262,222000,231000,-4.0,1187,2,1,38,6.9,19.9,7.6,11.7,31,7,0
P263,269000,292000,-7.8,1429,3,2,19,7.8,24.7,7.4,8.1,17,7,0
P264,199000,193000,3.3,1023,2,2,38,5.6,30.7,7.5,11.2,37,58,0
P265,302000,278000,8.7,1486,4,2,32,5.1,25.0,6.5,9.3,33,136,0
P266,233000,258000,-9.8,1838,4,2,28,5.7,47.6,4.1,18.2,21,54,0
P267,255000,229000,11.3,1324,3,1,28,3.3,18.2,6.9,10.1,28,154,0
P268,326000,291000,11.9,1659,3,3,24,5.6,34.9,5.5,14.9,19,187,1
P269,220000,209000,5.4,1314,2,2,11,7.8,40.3,4.7,19.4,38,116,0
P270,376000,387000,-2.8,1737,3,2,27,6.5,11.6,9.3,4.9,17,7,0
P271,230000,239000,-3.8,1021,2,2,11,9.5,18.8,8.4,2.5,34,7,0
P272,399000,349000,14.2,1551,3,3,0,9.5,16.5,7.1,4.4,26,59,0
P273,199000,218000,-8.6,1201,3,2,27,4.8,27.0,6.7,11.8,27,7,0
P274,622000,543000,14.6,2547,6,3,25,7.1,16.3,8.6,10.3,17,160,0
P275,403000,389000,3.5,2242,5,3,30,4.3,22.2,6.9,12.7,34,118,0
P276,309000,297000,4.1,1609,2,4,28,4.6,23.6,5.6,10.4,31,133,0
P277,120000,134000,-10.4,895,2,2,27,5.0,43.7,3.5,17.9,33,74,0
P278,198000,191000,3.7,925,3,1,2,8.5,18.0,7.0,9.9,33,77,0
P279,369000,334000,10.5,1801,4,3,21,6.3,26.4,6.0,11.0,10,188,1
P280,235000,253000,-7.0,1694,2,2,27,7.2,40.1,2.4,15.3,35,71,0
P281,360000,329000,9.5,1713,4,3,11,6.9,37.4,6.2,15.0,34,142,0
P282,103000,97000,5.8,626,1,1,53,2.4,33.8,4.4,7.2,13,236,1
P283,299000,301000,-0.8,1525,4,3,41,1.6,11.6,8.1,6.4,39,72,0
P284,348000,309000,12.7,1486,4,3,19,8.2,27.2,8.5,7.5,23,170,0
P285,152000,178000,-14.8,983,2,1,25,6.3,26.9,7.5,11.1,16,7,0
P286,271000,251000,8.1,1333,3,2,15,6.8,31.8,5.4,14.4,12,134,0
P287,329000,275000,19.6,1652,4,2,32,2.9,24.2,5.8,10.4,17,257,1
P288,255000,216000,18.0,1233,4,2,25,5.3,36.1,5.7,11.5,6,284,1
P289,253000,233000,8.5,1305,3,2,15,10.0,38.1,5.7,16.1,29,167,0
P290,280000,274000,2.3,1475,2,2,20,8.9,27.2,5.4,13.4,29,23,0
P291,179000,180000,-0.7,1088,3,3,15,6.7,35.8,4.4,14.1,28,140,0
P292,223000,218000,2.3,1468,4,2,14,4.5,42.4,5.2,13.9,24,109,0
P293,430000,391000,9.9,2095,5,3,33,5.6,23.4,6.5,8.2,17,120,0
P294,81000,83000,-2.3,500,1,1,46,4.1,28.7,7.2,13.0,30,99,0
P295,172000,154000,11.8,1071,3,2,28,6.5,43.7,2.0,19.3,35,185,1
P296,334000,269000,24.2,1440,4,2,12,8.7,33.6,5.7,13.4,8,203,1
P297,288000,276000,4.4,1494,5,2,43,2.6,22.8,6.3,7.5,18,161,0
P298,221000,238000,-7.1,1215,2,2,36,4.8,20.2,6.9,6.4,39,22,0
P299,96000,103000,-7.1,542,1,1,34,4.4,19.0,8.3,11.3,35,56,0
P300,286000,255000,12.0,1494,3,2,33,4.6,30.3,6.0,11.5,39,156,0
P301,369000,353000,4.5,2173,4,3,25,5.5,39.8,4.4,14.5,11,157,0
P302,115000,102000,12.9,763,1,1,49,1.6,48.0,3.7,18.5,21,269,1
P303,341000,340000,0.2,1752,2,3,19,7.9,30.7,6.4,9.2,9,139,0
P304,266000,236000,12.5,1203,2,1,22,8.3,30.5,6.8,9.3,35,23,0
P305,294000,284000,3.6,1383,3,2,25,6.8,30.8,8.8,6.9,23,46,0
P306,121000,123000,-1.6,696,2,1,43,3.0,22.2,5.7,7.6,13,126,0
P307,220000,217000,1.4,1307,4,3,45,4.3,33.1,5.1,13.0,8,112,0
P308,311000,330000,-5.8,1985,4,2,10,8.0,44.0,4.1,21.2,30,28,0
P309,294000,239000,22.9,1667,4,3,50,2.1,28.8,5.4,13.9,33,314,1
P310,432000,415000,4.1,2295,5,3,28,5.9,26.3,6.7,6.4,35,76,0
P311,306000,276000,10.8,1695,5,3,37,3.1,29.8,5.9,13.5,38,180,0
P312,240000,240000,0.2,1361,4,2,15,6.6,37.8,4.8,14.4,33,89,0
