unique_key,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude,pickup_location,dropoff_latitude,dropoff_longitude,dropoff_location
b98db59faf6d2817996bfd570293905569b2d6df,0df3999a110a1db089a25ce39a6e8ed1ed84aaac51cc62b235207cc0c1eefc1aa30f1cd32ee1afa8df3fc5d1955d3d44ab30fcbaf2f4be7c3ce8cbf86c6b2bd0,5/28/2019 17:15:00,5/28/2019 18:15:00,3643,17.41,,,,,44.75,7.39,0,4,56.64,Credit Card,5 Star Taxi,,,,,,
b987f83bfac967768d652b23b2ad4241dbf6f393,5d853881bf4f0ce73fc83652879af526b3cbe52d02c00898e01ccd026326725a9ad29b746b039ccf3210466409cea4dc93850ecd168db56341a920aa49840daa,5/19/2019 17:45:00,5/19/2019 18:15:00,1452,12.18,,,,,32.75,7.65,0,5,45.9,Credit Card,Chicago Carriage Cab Corp,,,,,,
b989ddd487cb72017f2cb90e27b51934137b3405,746d6a7a44c2d97606216ff513d227443a5fa5cc72b747ffa30756c6aced956f9fedcca236b4d788c982c886889947f35cef4943d948045f8f91aa7f1b176283,5/2/2019 14:15:00,5/2/2019 14:30:00,547,1.4,,,,,8.25,1,0,0,9.75,Credit Card,Checker Taxi Affiliation,,,,,,
b9add5cbe221484e03e021e4120aca4cd59ea137,25d14a6b429ecc54f2b698138ad74b351829a70fdff7887ba12ecf5597880f9c7aa6b097306b088316356779cf11b0a1533ee4c74e1024ec96aa338bf7bfa3f0,5/22/2019 17:30:00,5/22/2019 18:15:00,2977,4.72,,,,,24,5.3,0,2,31.8,Credit Card,Sun Taxi,,,,,,
b99d19ad1b5b3073f4497c340d305ddbc62f46d4,64401dc5345467a51c0a64179a986d8331edb4592b2045cbb32d60aecc92fcc996f2d8c8a117cb2fca7286cf0306527335d3e2c2ed087fa97c0d0975bb650d73,5/19/2019 18:15:00,5/19/2019 18:15:00,0,0,,,,,45,0,0,0,45,Credit Card,Suburban Dispatch LLC,,,,,,
b9a9a919bc5b73eeb1a2a555d2378a914c1a7917,67cdd41437563bed53a4348a0a050d03bfb80df4cc25191b2408f6adcc9050322dad5f6076499235ff29110159df1b024ee0afaaf3ace3dc9af1fac4a1d368ea,5/3/2019 17:00:00,5/3/2019 17:00:00,180,0.5,,,,,4.5,1,0,0,5.5,Credit Card,Top Cab Affiliation,,,,,,
355a1f57006cb193c8ff9b8bb010703b298b98f7,7453b5f8328429cb01acf4713de778e2b887b96115c6751e4cdf2f5454e196ec2b822da8ab900db72ce70f3f77f7d5622cd971d13fc279e2b8acb9a05a4f0cd1,5/12/2013 21:15:00,5/12/2013 21:15:00,,0,,,,,37.25,7.45,0,0,44.7,Credit Card,Chicago Elite Cab Corp.,,,,,,
b9a715efb1cf8a3b539160708a1e213ce1b9f9af,a112879f10892d5c698ce150af17aa28615b6d005ca74925c27278f3137678ac7cfec9bab7ff4877f5e9d50b11e9cd30134bfd0edcc03af68a7ba710b97034c6,5/10/2019 18:00:00,5/10/2019 18:15:00,1080,2.8,,,,,12.5,2,0,0,14.5,Credit Card,KOAM Taxi Association,,,,,,
b99dac71abd5e891583c1a3eab96570a86965c05,1ae0a4f0f53872375a85e2d525c1eb17edec472fb91fca69ea58afbb651d6761cc1d322e88a991b02a9baad7412ca5a878e9dfe1a87d2244fb0586f533434662,5/8/2019 11:15:00,5/8/2019 11:45:00,1214,12.21,,,,,51.1,12.9,0,0,64.5,Credit Card,Flash Cab,,,,,,
b9af6dbe0caa23c0b171d7c47d6139b90a270927,b6a410ed12c91dceb1a408bbefbdfb46823085c6fd190714454ddc11792deb429142e5f28cc135805bb1fba18130778fd4487c2c350b2bd7f405f9041a2ee832,5/15/2019 19:15:00,5/15/2019 19:30:00,1320,3.1,,,,,13.5,3.5,0,0,17,Credit Card,Choice Taxi Association,,,,,,
b9a7a76dd9ed3274c46fffa4bfee2c148a79cafc,28ac0194e9142ad4623904b5724b4ca706200257616e6140f1a7c33266b484b1fecbae4ea46f0f36a69cd91ef201b865a2b07577b3e51007c86b689bfc07a459,5/23/2019 17:45:00,5/23/2019 17:45:00,120,0.7,,,,,4.5,2,0,0,6.5,Credit Card,Star North Management LLC,,,,,,
b9ac07a028f371479eeb8b3cb0070fefc6ace3f1,22548e10dab3e149f756cb9283d6314073c0166532b8595071c6be35fa85cd200848eb97ec2c397cdb946f80bc585498c3d59296c993cdb5c754d6da87826a02,5/8/2019 12:15:00,5/8/2019 12:15:00,240,0.8,,,,,5.25,2,0,0,7.25,Credit Card,Choice Taxi Association,,,,,,
b99cd6ca1bb73117e5ed0aa9374bdbc746b451ab,7cf0f8fb498ea690cb01cd0b0a67b48b518441a492b024fc8d87c2890b7e2c1c13e2fd4c5fe5952a2a90d47aca7f48013d6a0678308a5e537efa0dc326c3d40b,5/14/2019 15:00:00,5/14/2019 15:45:00,2950,16.79,,,,,45.25,9.95,0,4,59.7,Credit Card,Flash Cab,,,,,,
b9af414b81b7ad69e8ff347958ffad6f217e27d5,8195103b539d970548a1674c838870eaca8e1237aca990d5cb1f33ccc54d39d7b3b1376c1e378d6ed5d1101397f407f7429184ef816df953907805cfdc867467,5/21/2019 17:45:00,5/21/2019 18:45:00,3356,11.53,,,,,34.5,5.85,0,4,44.85,Credit Card,Flash Cab,,,,,,
b9a73d4bd2c6d20c47d81120f382909bd79577f2,45bd8de07cb28a2d16874f8ba527f094fe8b68dceb5f59f83792ddd52900096798c5e73d5cf00a7b13ee591d0d58bd6d34233b611875db79e85e323350f413a1,5/29/2019 13:15:00,5/29/2019 13:45:00,1680,0,,,,,41.75,8,0,4,53.75,Credit Card,Choice Taxi Association,,,,,,
b9a606e93b0d48647d9b86dc38e3540ae128c4bc,fbe70822b59478f9318a6e3fd5e3a227f42f58927a5eac48127c7cc229e2cca4e50f1f55c4e70c4635e954def19b078deac56f2b8459888df982f6f63d28ea88,5/30/2019 13:45:00,5/30/2019 13:45:00,0,0,,,,,50,10,0,0,60,Credit Card,Suburban Dispatch LLC,,,,,,
b99f016af556db59faf68c6ff07bfe1f7977638c,e4c9b1777eb6819da4ec3e6c2cc59e672cfd16ec786c92bc452fc08a55b55eb00b5683f6fd8f85785fc00fdae019c1d94eeabe3075ae46e57af0b2c8ec694884,5/31/2019 8:00:00,5/31/2019 8:00:00,660,2.5,,,,,10,2,0,0,12,Credit Card,Star North Management LLC,,,,,,
b9a9fcceb9030e50d4c7e2c803d3a6677e2b3fe2,a397d9b799309abf3cf634e0f7b3f8a647e4af6bcc11da250b48b5816dcbded0d42f725ee47cf2940e77c41004598390a74620692073fb780f12cc551c382681,5/5/2019 15:15:00,5/5/2019 15:15:00,60,0,,,,,98,0,0,0,98,Credit Card,Taxi Affiliation Services,,,,,,
b9a3f8355322c7c75fafb10ce214b3e128f6a2e5,eb99fd375a6c7898d600b04607ada8bd1fa45c73bed714809c127a741dec4b657d0b69bf09b1248d5ba34cf87ed0347ce0939d2bf0af30e5a4786c141cb150f7,5/18/2019 13:15:00,5/18/2019 13:30:00,420,1.8,,,,,6.2,0,0,4,10.2,Cash,Taxi Affiliation Services,,,,,,
b9aeea1c3704b1c4943a02864431ee28780e3335,d8852c04d06413e43c4d2329da6db71bdc5b41176d56dd0f6b13fffd77a46e8f74f169045bd14acc2f518e4aae3b32ede2dc0b14a6ed3ba268c850414319d35a,5/11/2019 7:00:00,5/11/2019 7:00:00,216,1.07,,,,,5.75,0,0,0,5.75,Cash,Chicago Carriage Cab Corp,,,,,,
b99f06497132477743a8a925110e08bcf6f7a7ae,693cedd88daba67f64a5d6c8423213fb1b8975085784789075bcc60744b6210e8005c9af3da3ba2aef972095abdc9c956bc63daf5d848252e49936dfb412797e,5/8/2019 18:45:00,5/8/2019 19:15:00,1196,15.42,,,,,38.5,9.45,0,24,72.45,Credit Card,Flash Cab,,,,,,
b9a70ef8dcc2ec4e33ccbe20f1ffe4e46bfe081e,80e91e768cf85470d7c7f2f9a87058f6eeddde89b168bdfa03521f45065a6e9c84de93feae318719ddb5b12a45919e263173a2f876c8108cd0da924d5085d819,5/21/2019 18:30:00,5/21/2019 18:30:00,720,1.4,,,,,8.5,0,0,0,8.5,Cash,Medallion Leasin,,,,,,
b9ac12337c55bc7f1b3f110316d1fbb510f6dba2,eb90f81f654da93bd54bcf214a8ba1b5ef89b900fad337c59db4072a0f6a425cc428b1c38a9b5e22523831753f80784ab455cc2d358843431e2c4b889d0d32c2,5/9/2019 15:30:00,5/9/2019 15:30:00,0,0,17031824505,17031824505,,,2,0,0,0,2,Cash,Taxi Affiliation Services,,,,,,
b9a31fb5e66fd7c7f1af08f2bf0010c42196b745,c531f081cad817a366cbae2254ce7a3bb370394b3b0f1399dfc8781333c3565ca188035bbff4d1d7652181b79712c103d01ab168cb6ca2580f2da4b324cb00a5,5/7/2019 16:15:00,5/7/2019 16:45:00,1298,5.14,,,,,17.25,0,0,0,17.25,Cash,Flash Cab,,,,,,
b9a135af542501a0dd4faad2f2701627d0a41792,964d179d99b31a4d39ffe0d00da347d492e916870018ac2085c0da86caa777439c46e9a7b5edc4624cc50e49d98cfffc493f0bdd7327d6be4ef890de7226bf4c,5/1/2019 9:15:00,5/1/2019 9:15:00,370,1,,,,,5.5,0,0,1.5,7,Cash,Checker Taxi Affiliation,,,,,,
b9a6ede47465d59d6ea88eddf310e006427f2eb7,a40c415948e638d0446e18266efb19d5f03447c0c70117bab16a73ef8ea52578e25025a791d4f7ca458eb85a2db520a4a7929d929eae035131af1bf60260ba0a,5/16/2019 14:45:00,5/16/2019 15:00:00,1028,3.56,,,,,12.25,4.19,0,4,20.94,Credit Card,Flash Cab,,,,,,
b9ab939c18d011f69319f0d5e52f1e12a665265e,fd28ab86c23b450b7ee8cdd7ca28d7ecfd34c8874e47e58647e5024daedc1f1b4d95a35c0d66432d98be762c8659a16c932494f0d8a69f827377d9e18fcf87fb,5/15/2019 22:15:00,5/15/2019 22:45:00,1543,12.3,,,,,31.75,9.06,0,4,45.31,Credit Card,Chicago Taxicab,,,,,,
b9aca393226be70f386e21295446f477d448acb6,c4dbfd8b058bf88e0e91e94c1976cbc2841329300bb47dac16908e64f749ee1d6a09f900d4580ddc2d3b0c442dfb43d2e1ba670ae82d493f67d6260a523d7786,5/13/2019 10:00:00,5/13/2019 10:15:00,736,1.2,,,,,8,0,0,0,8,Cash,Blue Diamond,,,,,,
b9aa360acf06fce77688202fbc1005bc2319bcb9,8a7a9d350d752cd6d0d4d8581a0525d3a6e34c8aeb868dbe83b20840b12a68084bc6ba1818b1bccb5b77b1f49252fc1c4ef5ef1f3dd02b5bd83e1742ae004864,5/10/2019 20:00:00,5/10/2019 20:15:00,180,0.7,,,,,5.25,0,0,0,5.25,Cash,Star North Management LLC,,,,,,
b9aeca22355b69dc434ea56abadec0d162079869,777f9f3b23bb3b0b55dab4d1adfc13ec1e2d072aca8bef740fb17d55b80606dd9339190d5a00c9765ef15ac4b0ec8522da8f0a818df718d082e7f8467ef11945,5/24/2019 14:00:00,5/24/2019 14:15:00,814,1.3,,,,,9,2,0,1,12.5,Credit Card,City Service,,,,,,
b9a7aee3c46f882da8a6cb664267e85b2d28b236,e582bdc2b107b7199f911e7e6081b3c5ba6e936fe85cef961aa53514b90ff63d88fbb5725e19a9c16957ae421e5983a9860a10b5f15703675a4bae3dac9020e0,5/9/2019 14:30:00,5/9/2019 15:15:00,2820,18.4,,,,,46.5,0,0,0,46.5,Cash,Top Cab Affiliation,,,,,,
b9bc9a51103a42acbcdb79a2088f9d71d11a71f2,5339c272e8a85babf1e53c2ab4689a3225f1d8128d7c60de5da70e1a20c6cf193b1c5ea2d4d3ac881d0ea260b8154583cbb65586198e45968cc304290fb66dd5,5/17/2019 8:30:00,5/17/2019 9:30:00,3540,17.6,,,,,46.25,8,0,4.5,58.75,Credit Card,Star North Management LLC,,,,,,
b9c29eb7452d5efb0a13833fb7331201d591279e,8f03724d05d5815d0a51f3186e5d1f3492f268ccc42dcaca0f8f23267fab98ec77aeee50940b5c605e479dbfe2fd8a7cc5f87c4aa26f3c2f46ed15a3ae5a1976,5/15/2019 20:45:00,5/15/2019 20:45:00,0,0,,,,,35,7,0,0,42,Credit Card,Suburban Dispatch LLC,,,,,,
b9b703e8fcd2ac97ca23f632d117d14748933129,2c3d2f8abbb58639c976276b8ed08d10f3b45c7fc85c4a357252d3f83af0c6baa23d5de63911bcc0dce0a25331b9026ebb28049588390a0b82912e50d60d4744,5/10/2019 10:45:00,5/10/2019 10:45:00,0,0,,,,,2,0,0,0,2,Cash,Taxi Affiliation Services,,,,,,
b9bf89c8a2f09d4150459280f9896e9eb55208b9,c0910b0d86dc225791e3a4eaf41b3dd05ccc3855ce6a41232edc63e09634814c14b2351c981912f5f065c8436c190dd3fb2fe1768ed417c15ac654bbc80a32db,5/6/2019 17:15:00,5/6/2019 17:15:00,0,0,,,,,111.5,0,0,0,111.5,Credit Card,Top Cab Affiliation,,,,,,
b9b8ad8d8ea0fc03613e83c35f1b65aebbcc125e,5985b42dd0cbd4492cd51df71c1fd5dbed60edb96d589b7523ef35dc77c6c71f44a49c6f496ac294a51ca6584790e4ee608578553b82960ccb6de65f7bbb2bd6,5/26/2019 8:15:00,5/26/2019 8:30:00,52,0.72,,,,,5,1,0,0,6.5,Credit Card,Flash Cab,,,,,,
b9b9aa1bc65ed1b0f0cd3a06d36e71c43894738f,8ac81cfa2ee2c29b19f8fa21ed92b908d46bedc9d4055cc7a0fdb96adcc45d97855d9d1ffea12f3278749087e96b78ebb22908f8c1bdd50995f2990942e0a4cb,5/8/2019 15:15:00,5/8/2019 15:15:00,299,0.4,,,,,4.75,0,0,0,4.75,Cash,City Service,,,,,,
b9b90b90e93bb4bce6ad5e8a12815d6398be4be8,63a62e6df555fe8df83bbdfd208da64d6feb94eb414e07149cd04f272545f091d01f3912a676d8374d8d11ee27d6a449e998b9dd90e7e4f8caf11c1cea87c641,5/14/2019 19:00:00,5/14/2019 19:15:00,423,0.88,,,,,6.25,0,0,1.5,7.75,Cash,Flash Cab,,,,,,
b9af9ff2ac2af4832a21fee0b7e9393f362d4867,257aa707087ab0b5072e2bdccb42a50f3314fed83d290708b388b0fca8b777d8821486eaca6645a4469bdeca8e0cbeea8159a0e1ed29aecd16edef318521a97b,5/28/2019 21:00:00,5/28/2019 21:30:00,1500,17.9,,,,,44,9.7,0,4,57.7,Credit Card,Top Cab Affiliation,,,,,,
b9c371fb739c2bc8eabb683bce699b9d4639321c,d41ab2be597b82c3e6b0b0ecccf98883a84db0d9aed4f608871f0a2f09afc8af1cc61f2e1963dd196acc8721bb0db15343542f2364a52f6f4a7066c6f97af225,5/8/2019 10:45:00,5/8/2019 11:15:00,1560,0,,,,,47.75,15.45,0,29.5,92.7,Credit Card,Choice Taxi Association,,,,,,
b9bb3ea367f63fae87e7ed95b570a71996b90047,5cee8ec7dd48dd171270a4f56ac537aa955fb0404ea5ad8533814b95885a3afe8936e3eaa6acaf9a1360049b4f69c6e454c65f9eed13c53b98f43203cfad9298,5/9/2019 14:45:00,5/9/2019 14:45:00,0,0,,,,,2,0,0,0,2,Cash,Taxi Affiliation Services,,,,,,
b9b9b9b82645abc093ec8b84e5b4e5a52f60ead9,692320c13d5f7819864fb57797a53cd467452176b95411b54715acf8af840d610799129383a0c79c80b59187f8a02c67b6c3c6fb57eaa6374b16a333cacad503,5/14/2019 11:00:00,5/14/2019 11:15:00,720,1.28,,,,,8.25,0,0,0,8.75,Credit Card,Nova Taxi Affiliation Llc,,,,,,
b9c4261c0d0d81f413f411e8f78964d0e0b04090,f9aee16b2de2973e98d52db66fb4a63a8dfd859ac95f9a5fa3dc2c2af2b8b4102d6b886a9115509152a8fa875eeea7f4faf1814323ee61c49974209d31404a65,5/14/2019 18:30:00,5/14/2019 19:15:00,2864,17.5,,,,,44.5,7.35,0,4,56.35,Credit Card,Blue Diamond,,,,,,
b9b202737fa4e3815e53841f1ea4d3c9ca28e3d4,606c0afda95a807ccd4e9fbc33dd6705bc10cdb402ce013392c9c7d2adf1f566bba0ef5b31f0518f593edc179c642b98dea146592d43f4d15475156072792d8a,5/20/2019 1:00:00,5/20/2019 1:00:00,180,0.6,,,,,4.75,0,0,1,5.75,Cash,Choice Taxi Association,,,,,,
b9b42898cb037a3b75bdf71ebc74c9788e621e02,746d6a7a44c2d97606216ff513d227443a5fa5cc72b747ffa30756c6aced956f9fedcca236b4d788c982c886889947f35cef4943d948045f8f91aa7f1b176283,5/16/2019 14:45:00,5/16/2019 15:00:00,1156,9.2,,,,,59.25,12.95,0,5,77.7,Credit Card,Checker Taxi Affiliation,,,,,,
b9b8e12e31968fbe644d27d9c72291cc9cd0cd1a,2b96ddd6669548a38003cfad8f3e5373280257662377cb390d59c3c6ffb511cab874317a6097aa11cce1527b0e41f1c1a848c2553099a0e3e1e98c0787abb137,5/16/2019 19:30:00,5/16/2019 19:45:00,540,0.9,,,,,6.75,2.5,0,0,9.25,Credit Card,Choice Taxi Association,,,,,,
b9b3ff7e422f8a98521ebb2645cabe06ca3434c9,f9ccea6ec8d61adb4b8ee9c07f51c1e5b1cd8d023d05329a305d62c6c50c867355487567bf97124e31265274f094311bf23321e3b85833bc06b132914c6bed06,5/4/2019 15:30:00,5/4/2019 15:30:00,398,1.22,,,,,6.5,0,0,1,7.5,Cash,Flash Cab,,,,,,
b9b7ed264201f03b7f4177923d9cfefc0e2b3982,ba48aac1be874e3212623beb83b4538c5567a8676f2cf3febcad6b2ed443e55a2fa46b640d51c099a1ca0d899b36faf0817a5c0664ffda16d516f1b92909353f,5/9/2019 21:00:00,5/9/2019 21:00:00,300,0.7,,,,,5.75,2,0,1,8.75,Credit Card,6574 - Babylon Express Inc.,,,,,,
b9b075fd85c3cad715f1cda5280ac54c4c71aebb,949b2b62a50681d3d1b5b44d94ee42384a57fd625d30d05e3e42493991598f758c7800cb232fed81cb5f9e21fe3cdd569dd886bc8c75c0df492b681e9cb0d1b3,5/9/2019 13:45:00,5/9/2019 13:45:00,240,1.2,,,,,6,2,0,0,8,Credit Card,"Taxicab Insurance Agency, LLC",,,,,,
b9ba1f29ee1eeb68530ecc8152983f825e60e9ba,2cb7deb7674470467d31b1bba4657ab1c44c1feebf6274b33df432e9d900e5fbbd18eeb2b06748d7e1400d895eadabc128b58d470330cb889999b656004f8a9e,5/7/2019 17:45:00,5/7/2019 18:00:00,228,0.3,,,,,4.25,0,0,0,4.25,Cash,City Service,,,,,,
b9bd6418a0724a37d6005bdd5c697e62ab952b65,1f3593421771a4a6cc906137e5d3221ed2ab7bef3c2bfafac40e118608c40ab896c9198806a7af32b087cf6ddb1df8d668252929e569e3fe983d2d1d4ab5d7cf,5/24/2019 7:45:00,5/24/2019 8:00:00,300,0.8,,,,,5.75,0,0,0,5.75,Cash,"Taxicab Insurance Agency, LLC",,,,,,
b9b5bcb7fd53f0a12b0a607d941ece6284a5735e,d8852c04d06413e43c4d2329da6db71bdc5b41176d56dd0f6b13fffd77a46e8f74f169045bd14acc2f518e4aae3b32ede2dc0b14a6ed3ba268c850414319d35a,5/2/2019 11:45:00,5/2/2019 11:45:00,445,0.81,,,,,6.25,2,0,1.5,10.25,Credit Card,Chicago Carriage Cab Corp,,,,,,
b9b81279e8c60a717ff1d950bbcfa49ff3cde59e,3a9b3a469a10f36ddefefc31b6929bbd53fc72bd2228dee053966fc882aa8d64c3daadab32c67be5683cf0a3511ef9a05d6825ce3b38c8d113293fda0bc9ecce,5/24/2019 16:00:00,5/24/2019 16:00:00,360,1,,,,,6.25,2,0,0,8.25,Credit Card,Chicago Independents,,,,,,
b9ba3a81a31f242ec177b5cddecf88e02607318c,d7de5a594d0efed735dbce1fe6b9ae0651df194867e00426b93f70cadd9c00ebb6e0951de8d95cf4a50a32eb302e46f0c092453bcae803baa0a3b1b547979592,5/12/2019 21:15:00,5/12/2019 21:30:00,1260,6.8,,,,,20.5,0,0,0,20.5,Cash,Star North Management LLC,,,,,,
b9c409dc6f9771608e8c2715f773cc98ec1f8ce7,4de82fc17cb23f745931085fbbb3b4f920550cda576979980750b7b4cd8e4b315d327ce76a9e599a4085e7f87b6bcb35b5159a72e90f161e56dea4af76180b5d,5/29/2019 17:30:00,5/29/2019 17:30:00,180,0.4,,,,,4.5,0,0,0,4.5,Cash,Star North Management LLC,,,,,,
b9be95f72bc57847d75844bac475ba0a7fa4ca21,d31f81c999a017a3516da0b9a9fd96abf7e4ea8333e94a9524d388b73500763cb08902fb384917a0d5d72ec3d36b97f4e662ac4bd9a0bd457de3042e1fc27694,5/25/2019 17:45:00,5/25/2019 18:00:00,844,1.9,,,,,9.25,2,0,0,11.75,Credit Card,City Service,,,,,,
b9bc9c635e6aa67dae7768ccf650e641cc95979e,897810ef0d64d2a9bd73c7c707459a14646e3e20478e13bc3985a7ae3b14076906876d1c234b6420eaeb82190818e53c7543ee3011ad3af41217d8d49f159672,5/24/2019 11:00:00,5/24/2019 11:00:00,0,0,,,,,3.25,0,0,0,3.25,Cash,Taxi Affiliation Services,,,,,,
b9cc82162db9a73754f56301ce5acd0d1dc5ce65,d744f003d8f56f6a8b53b97c0589575fa9a975e9d12f66b59a3122c36a9c9f16837e9b8227646af13d292471984c2ca5eb8409c75638dd9fe362f7150307d3d4,5/12/2019 14:15:00,5/12/2019 14:15:00,21,0,,,,,3.25,0,0,0,3.25,Cash,Flash Cab,,,,,,
b9cd791f840f431ee660f0ff5103806fe385f848,693cedd88daba67f64a5d6c8423213fb1b8975085784789075bcc60744b6210e8005c9af3da3ba2aef972095abdc9c956bc63daf5d848252e49936dfb412797e,5/20/2019 19:00:00,5/20/2019 19:15:00,844,3.65,,,,,13,0.02,0,1,14.52,Credit Card,Flash Cab,,,,,,
b9d20755630e2e1ddeb3a06c992c6656d071d916,b75e4a5f5666b60eec9f1446230f23270002318dd86ff0d2e0969afddc155fcd5bf394f221e4954373376133f389c74317f7887cbad925effd10a4c722654607,5/14/2019 9:45:00,5/14/2019 9:45:00,480,0.8,,,,,6.25,1,0,0,7.25,Credit Card,Star North Management LLC,,,,,,
b9d19c996a4b79e883beac77bccfd6cb1a8d4c61,71fc920551d68200d0ff75b7e53bf41ba482b1a6075b137c4001dd759c4784aef6b9cfe90017790e7fbaf5b31fb85208a22de2396fd72f40440ed9beedb56e5e,5/4/2019 23:15:00,5/4/2019 23:30:00,480,1.6,,,,,7.5,0,0,1,8.5,Cash,KOAM Taxi Association,,,,,,
b9cc308870c9d31d1dbbbee00e9751285a65affd,883e86111c7bebb7bdd41cbcac8ebbcc1172fe7464b90f70d9895dfdb4d03a42140c940b78bf743cf11fbd2d6f073f9b4856327708edb7e482d9ab2092041523,5/29/2019 8:30:00,5/29/2019 8:30:00,799,1.82,,,,,9.25,0,0,0,9.25,Cash,Flash Cab,,,,,,
b9c83d7763b4a8e07f633d23d69d4946a5d2856c,38da359b5809a1970dce1d6723e217590f4cd1f8e80541b6524f8704089c4f064563caa7779299e50251b9897fc21e0420e628e75ca9f079276f3a98bc27d376,5/10/2019 9:00:00,5/10/2019 9:00:00,360,0.7,,,,,5.75,0,0,0,5.75,Cash,Taxi Affiliation Services,,,,,,
b9d0d4a50b00c6a71bd882f15f3f329a6e84da16,b584da8428a7c2377188bf309714a2b2f37081876bb14e15adc4e28df615b856e857d01f19dc9e38eb53b95c9ababb8e671073e3e6715f6c580fe8e44901729b,5/26/2019 2:45:00,5/26/2019 2:45:00,849,5.52,,,,,16.5,0,0,1.5,18,Cash,Flash Cab,,,,,,
